Total Slug,Slug in platform,Contentful Entity ID,,
/en-us/webinars-events/how-reduce-costs-your-accounts-payable,webinars-events/how-reduce-costs-your-accounts-payable,6b9qPN98gsuVfcYFErO0iX,,
/en-us/ebooks-papers/idc-customer-connection-dbs-bank,ebooks-papers/idc-customer-connection-dbs-bank,7h9qBxeP5nod7DUfB02LiE,,
/en-us/ebooks-papers/IDC-marketscape-accounts-receivable-automation-applications,ebooks-papers/IDC-marketscape-accounts-receivable-automation-applications,6yQmT9pMOIKaH1SHaAjEyL,,
/en-us/case-studies/idc-marketscape-worldwide-ccm-assessment,case-studies/idc-marketscape-worldwide-ccm-assessment,,,
/en-us/ebooks-papers/inspire-plug-salesforce,ebooks-papers/inspire-plug-salesforce,3V3rbkHnP2eqJzEeHi5BoY,,
/en-us/webinars-events/inspire-scaler-what-is-for-me,webinars-events/inspire-scaler-what-is-for-me,6wKdCUwB2dpekVCScORbFH,,
/en-us/webinars-events/invoice-processing-multiple-business-entities-locations,webinars-events/invoice-processing-multiple-business-entities-locations,3bAPFN25El6Gyov0hiRSSX,,
/en-us/webinars-events/kickstart-your-ap-transformation,webinars-events/kickstart-your-ap-transformation,6i8NCabNs6gACrx4IqTsJZ,,
/en-us/ebooks-papers/legacy-consolidation-operational-transformation,ebooks-papers/legacy-consolidation-operational-transformation,2JUV3dNLO9EfxaZqoBRG95,,
/en-us/ebooks-papers/mail-outsourcing-revolution,ebooks-papers/mail-outsourcing-revolution,2DX8gBb4TIVygCZxNr6KeY,,
/en-us/webinars-events/making-quickbooks-even-quicker-with-ap-automation,webinars-events/making-quickbooks-even-quicker-with-ap-automation,1M4xFBweibZTiQMPlBUSWx,,
/en-us/webinars-events/mastering-accounts-payable-workflow,webinars-events/mastering-accounts-payable-workflow,54Z8sCZRJ27RRbjmp3LWjq,,
/en-us/ebooks-papers/moments-matter-critical-touchpoints-make-or-break-customer-experience,ebooks-papers/moments-matter-critical-touchpoints-make-or-break-customer-experience,3ReupAdPZFhxSXmjUcRuL1,,
/en-us/ebooks-papers/navigating-us-canada-trade-relations-guide,ebooks-papers/navigating-us-canada-trade-relations-guide,4oQKl5jn3liq2ffj20Pxic,,
/en-us/webinars-events/new-ai-frontier-transforming-financial-automation,webinars-events/new-ai-frontier-transforming-financial-automation,4VxEMczAxlntebQhUqBMSL,,
/en-us/webinars-events/new-ai-frontier-transforming-financial-automation-0,webinars-events/new-ai-frontier-transforming-financial-automation-0,3EaNu3lRmo2RpLmEhFpWER,,
/en-us/webinars-events/novice-guru-how-ai-accelerates-processes,webinars-events/novice-guru-how-ai-accelerates-processes,59XjIFbWY3dOuK38F4uczF,,
/en-us/webinars-events/novice-to-guru-mastering-ai-in-finance,webinars-events/novice-to-guru-mastering-ai-in-finance,3sjbxpnz5915ZhLLyRwrzI,,
/en-us/webinars-events/optimising-cash-flow-forecasting-weather-economic-storms,webinars-events/optimising-cash-flow-forecasting-weather-economic-storms,2e20DBX3ushb4EsvyvW4y7,,
/en-us/webinars-events/optimizing-operations-webinar,webinars-events/optimizing-operations-webinar,3CRFeviMVIPrOVejhsR9jl,,
/en-us/ebooks-papers/optimizing-your-financial-operations,ebooks-papers/optimizing-your-financial-operations,5dopelubrjou4MwaFcluaP,,
/en-us/webinars-events/our-journey-digital-lincoln-financial-group,webinars-events/our-journey-digital-lincoln-financial-group,3E2nh6L36JVx9PAqqKbtn5,,
/en-us/webinars-events/partnership-sage-ap-automation,webinars-events/partnership-sage-ap-automation,2keKHT4zEFk8ANHTwKLD3b,,
/en-us/ebooks-papers/practical-steps-improve-smb-cash-flow,ebooks-papers/practical-steps-improve-smb-cash-flow,2n2BVuDqDoMAecw5Z3lWID,,
/en-us/webinars-events/practical-workflow-scorecard,webinars-events/practical-workflow-scorecard,3Xjcs4xP1PoUQOMDrGCN7a,,
/en-us/webinars-events/protecting-profit-margins,webinars-events/protecting-profit-margins,4ugsrowlCRb5n41tzMEDrc,,
/en-us/ebooks-papers/quadient-ar-named-leader-idc-marketscape-report,ebooks-papers/quadient-ar-named-leader-idc-marketscape-report,63Bmx21Lmi1DYM34PZmK8X,,
/en-us/ebooks-papers/quadient-named-leader-2021-aspire-leaderboard-ccm,ebooks-papers/quadient-named-leader-2021-aspire-leaderboard-ccm,5lEhORwCFphBt39v56GJce,,
/en-us/ebooks-papers/quadient-recognized-2023-gartner-magic-quadrant,ebooks-papers/quadient-recognized-2023-gartner-magic-quadrant,50lUZtW8JnZGaHAn81YNZr,,
/en-us/webinars-events/quadient-transformation-made-simple-cognizants-coral,webinars-events/quadient-transformation-made-simple-cognizants-coral,5Ks7KYONABxD1HQqTnQdW2,,
/en-us/ebooks-papers/replacing-premises-legacy-customer-communication-systems,ebooks-papers/replacing-premises-legacy-customer-communication-systems,2D3pDKAI2V1zC85gAd4Nja,,
/en-us/webinars-events/roundtable-sage-and-ap-automation-success,webinars-events/roundtable-sage-and-ap-automation-success,5QnCXlB2fIEbwzErxvEtf7,,
/en-us/ebooks-papers/saas-customer-communications-replacementupgrade,ebooks-papers/saas-customer-communications-replacementupgrade,2Mc652LAy1OTMJdV82erKs,,
/en-us/case-studies/santander-bank-uk-taking-onboarding-next-level,case-studies/santander-bank-uk-taking-onboarding-next-level,4wo3tt8ePpaxxnDnyII4iP,,
/en-us/webinars-events/solving-payment-problem-better-way-collect,webinars-events/solving-payment-problem-better-way-collect,5JCvFbUtGqOGw2HuqNmGb2,,
/en-us/ebooks-papers/spark-matrix-ccm-2025,ebooks-papers/spark-matrix-ccm-2025,2dXQCPNI9ywFTuVl1isnI6,,
/en-us/webinars-events/streamlining-your-accounts-payable-automation-tools,webinars-events/streamlining-your-accounts-payable-automation-tools,7g3NPNAL3i0dPLFkFaFVwO,,
/en-us/webinars-events/take-your-wisp-paper-practice,webinars-events/take-your-wisp-paper-practice,6otWDiI2PXSsX2ftr1tQwJ,,
/en-us/webinars-events/tariff-ied-minimizing-impact,webinars-events/tariff-ied-minimizing-impact,2D9OUZxCPaYMbimbBsYTy2,,
/en-us/webinars-events/tax-season-fraud,webinars-events/tax-season-fraud,6MQlFkzP01wjh8tLUB8GZ4,,
/en-us/ebooks-papers/top-12-customer-communication-trends-watch,ebooks-papers/top-12-customer-communication-trends-watch,5USVy4PyIihJxGVBlDVypX,,
/en-us/webinars-events/top-ap-headaches-ditch-2025,webinars-events/top-ap-headaches-ditch-2025,3NqWIPUDfcqRidQOHTWK8S,,
/en-us/ebooks-papers/transforming-customer-engagement,ebooks-papers/transforming-customer-engagement,1cwvswWRKNhf8neARgKOD7,,
/en-us/ebooks-papers/ultimate-ai-guide-accounts-receivable-professionals,ebooks-papers/ultimate-ai-guide-accounts-receivable-professionals,5Q3MdESqwtfxapaxAjUNMt,,
/en-us/ebooks-papers/ultimate-ar-email-template-kit,ebooks-papers/ultimate-ar-email-template-kit,677ZgsBICxlG8ER6w80FzM,,
/en-us/webinars-events/winning-finance-talent-war,webinars-events/winning-finance-talent-war,3eD2TxRHALYTVH4AT02LtM,,
/en-us/webinars-events/xero-and-ap-automation,webinars-events/xero-and-ap-automation,2JVKNOe9qEyEKgQNl5u0cd,,
